tweet_id,retweet_count,favorite_count
805826884734976000,1709,6210
805823200554876929,7413,0
805520635690676224,1544,5457
805487436403003392,2360,8300
805207613751304193,1619,7447
804738756058218496,3584,12916
804475857670639616,1879,5813
804413760345620481,2988,0
804026241225523202,14933,41850
803773340896923648,2568,9491
803692223237865472,6869,0
803638050916102144,3865,10333
803380650405482500,1759,7350
803321560782307329,4930,0
803276597545603072,2283,9486
802952499103731712,1861,8538
802624713319034886,2711,0
802600418706604034,1374,6733
802572683846291456,2341,8479
802323869084381190,5442,15270
802265048156610565,1285,6589
802239329049477120,2437,8609
802185808107208704,250,0
801958328846974976,1589,7337
801854953262350336,218,1717
801538201127157760,1943,7778
801285448605831168,770,5708
801167903437357056,5480,23063
801127390143516673,3684,0
801115127852503040,1977,7640
800859414831898624,90,644
800855607700029440,1511,0
800751577355128832,2608,10045
800513324630806528,2809,12442
800459316964663297,2046,9000
800443802682937345,3999,0
800388270626521089,2617,10550
800188575492947969,3672,0
800141422401830912,2381,14441
800018252395122689,12229,26758
799774291445383169,4341,0
799757965289017345,1993,7934
799422933579902976,1789,7656
799308762079035393,5050,0
799297110730567681,2544,9347
799063482566066176,2329,7658
798933969379225600,4128,12359
798925684722855936,1351,7137
798705661114773508,6170,0
798701998996647937,7185,0
798697898615730177,6053,0
798694562394996736,4615,0
798686750113755136,2168,0
798682547630837760,4407,0
798673117451325440,5196,0
798665375516884993,3658,0
798644042770751489,1734,0
798628517273620480,1856,0
798585098161549313,5240,0
798576900688019456,5448,0
798340744599797760,3124,0
798209839306514432,2413,9877
797971864723324932,2874,10897
797545162159308800,4595,13814
797236660651966464,6110,18840
797165961484890113,24,210
796904159865868288,8304,0
796865951799083009,1823,7277
796759840936919040,2810,11149
796563435802726400,6692,0
796484825502875648,1643,7152
796387464403357696,3865,10399
796177847564038144,13284,0
796149749086875649,13284,30344
796125600683540480,1677,4717
796116448414461957,2236,8595
796080075804475393,2153,7985
796031486298386433,3482,10225
795464331001561088,21821,46504
795400264262053889,2662,9453
795076730285391872,5067,15276
794983741416415232,3139,0
794926597468000259,2148,9628
794355576146903043,9601,0
794332329137291264,2521,9085
794205286408003585,3099,8733
793962221541933056,4546,15839
793845145112371200,1732,8731
793614319594401792,2907,0
793601777308463104,1508,7549
793500921481273345,2215,10070
793286476301799424,8543,23240
793271401113350145,2233,8219
793256262322548741,7740,18821
793241302385262592,3052,9933
793226087023144960,2697,9239
793210959003287553,2590,8434
793195938047070209,5240,14372
793180763617361921,1849,6531
793165685325201412,2613,8860
793150605191548928,1585,5824
793135492858580992,2337,6046
793120401413079041,3653,11958
792913359805018113,3687,13511
792883833364439040,3979,10658
792773781206999040,1565,6975
792394556390137856,3990,12641
792050063153438720,1659,6752
791821351946420224,19571,0
791784077045166082,8819,0
791780927877898241,3540,0
791774931465953280,20624,42529
791672322847637504,2906,11097
791406955684368384,3838,12433
791312159183634433,2353,8285
791026214425268224,3781,0
790987426131050500,1977,9268
790946055508652032,4366,15797
790723298204217344,2130,0
790698755171364864,1791,7767
790581949425475584,6598,19446
790337589677002753,1760,7396
790277117346975746,2936,11837
790227638568808452,3287,0
789986466051088384,2130,8767
789960241177853952,3800,0
789903600034189313,3861,9744
789628658055020548,1628,7049
789599242079838210,1782,6346
789530877013393408,3139,11034
789314372632018944,2123,8163
789280767834746880,4556,0
789268448748703744,2429,8623
789137962068021249,2594,9191
788908386943430656,11641,25943
788765914992902144,9601,25768
788552643979468800,6621,0
788412144018661376,4897,14647
788178268662984705,1964,6862
788150585577050112,1193,5775
788070120937619456,3194,0
788039637453406209,1214,5768
787810552592695296,2823,8111
787717603741622272,2572,9668
787397959788929025,2648,10286
787322443945877504,1618,7360
787111942498508800,6260,0
786963064373534720,7383,25155
786729988674449408,2260,0
786709082849828864,5687,17293
786664955043049472,2355,10003
786595970293370880,2893,8937
786363235746385920,3199,10233
786286427768250368,2632,7530
786233965241827333,4344,14337
786051337297522688,144,1348
786036967502913536,6465,0
785927819176054784,2967,10753
785872687017132033,1662,6315
785639753186217984,2094,7415
785533386513321988,1828,8531
785515384317313025,1154,5764
785264754247995392,1509,6880
785170936622350336,4467,11310
784826020293709826,2988,9537
784517518371221505,2350,8452
784431430411685888,1176,5425
784183165795655680,7413,18852
784057939640352768,10291,27949
783839966405230592,9978,28239
783821107061198850,1817,6938
783695101801398276,2974,9815
783466772167098368,2068,7930
783391753726550016,5058,15917
783347506784731136,5118,0
783334639985389568,10801,27344
783085703974514689,2011,7697
782969140009107456,6847,22701
782747134529531904,1307,7044
782722598790725632,4972,16204
782598640137187329,1762,7356
782305867769217024,5094,15637
782021823840026624,5688,0
781955203444699136,3121,10527
781661882474196992,2502,9826
781655249211752448,1046,3753
781524693396357120,5118,19488
781308096455073793,2371,6705
781251288990355457,1916,7884
781163403222056960,2567,9232
780931614150983680,6692,20401
780858289093574656,1851,6767
780800785462489090,1192,5165
780601303617732608,3107,11372
780543529827336192,1617,5930
780496263422808064,3398,0
780476555013349377,103,0
780459368902959104,999,4975
780192070812196864,2068,8180
780092040432480260,2116,0
780074436359819264,4543,11367
779834332596887552,6465,17651
779377524342161408,2868,8209
779124354206535695,16899,0
779056095788752897,4186,13823
778990705243029504,6616,18659
778774459159379968,9091,0
778764940568104960,337,818
778748913645780993,1200,6435
778650543019483137,1382,5400
